species,life_stage,health_metrics,island_Biscoe,island_Dream,island_Torgensen,sex_female,sex_male,diet_fish,diet_krill,diet_parental,diet_squid,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
0,0,1,1,0,0,1,0,1,0,0,0,3.996364153861897,2.9338568698359038,5.393627546352362,8.646113971483077
0,0,1,1,0,0,1,0,1,0,0,0,3.9180050771056933,2.9496883350525844,5.5053315359323625,8.826441041782578
0,0,1,1,0,0,1,0,1,0,0,0,4.037774210733707,2.8678989020441064,5.424950017481403,8.592115117933497
0,0,1,1,0,0,1,0,1,0,0,0,3.6635616461296463,2.8094026953624978,5.402677381872279,8.742414582525413
0,2,1,1,0,0,1,0,1,0,0,0,4.122283930911342,2.9391619220655967,5.181783550292085,8.47886807709457
0,2,1,1,0,0,1,0,1,0,0,0,3.6027767550605247,2.8791984572980396,5.272999558563747,8.569216219483389
0,0,1,1,0,0,1,0,1,0,0,0,4.127134385045092,3.0819099697950434,5.356586274672012,8.693161274238017
0,0,1,1,0,0,0,1,1,0,0,0,4.206184043977636,3.0819099697950434,5.5093883366279774,8.802973456578423
0,0,1,1,0,0,0,1,1,0,0,0,4.133565275375382,3.039749158970765,5.602118820879701,8.813289762469037
0,0,1,1,0,0,0,1,1,0,0,0,4.023564380161053,3.1484533605716547,5.442417710521793,8.7787879291047
0,0,1,1,0,0,0,1,1,0,0,0,4.1728476237100445,2.8622008809294686,5.627621113690637,8.723882104658486
0,2,1,1,0,0,0,1,1,0,0,0,4.027135812528651,3.0301337002713233,5.41610040220442,8.705993714307901
0,0,0,1,0,0,0,1,1,0,0,0,4.067315889834181,3.0204248861443626,5.545177444479562,8.686260632531775
0,2,2,1,0,0,1,0,0,1,0,0,3.0633909220278057,2.884800712846709,5.117993812416755,8.140898460607852
0,2,2,1,0,0,1,0,0,1,0,0,3.0633909220278057,2.766319109226186,5.241747015059643,8.208764045819667
0,2,2,1,0,0,1,0,0,1,0,0,3.0819099697950434,2.9444389791664403,5.332718793265369,8.12533508671429
0,2,2,1,0,0,1,0,0,1,0,0,3.292126286607793,2.9338568698359038,5.231108616854587,8.163940954755008
0,2,2,1,0,0,1,0,0,1,0,0,3.104586678466073,2.8791984572980396,5.19295685089021,8.197538739721184
0,2,0,1,0,0,1,0,0,1,0,0,3.3843902633457743,2.91235066461494,5.135798437050262,8.24564690087386
0,2,0,1,0,0,0,1,0,1,0,0,3.484312288372662,2.833213344056216,5.3706380281276624,8.518192691749322
0,0,2,1,0,0,0,1,0,1,0,0,3.487375077903208,3.242592351485517,5.37989735354046,8.480944058741116
0,0,0,1,0,0,0,1,0,1,0,0,3.5234150143864045,3.054001181677967,5.44673737166631,8.600062669238532
